
chunk_id,doc_id,source,year,journal,section,chunk_index,start_sentence,n_sentences,word_count,text,raw_doc_path

f670a783-5cd9-41ed-85f2-e8fcafbf949c,PMC10367193,PMC,2019,Evolutionary Psychology,introduction,0,139,1,39,"Then, working individually in private laboratory rooms, participants performed the attention task, which was programmed with E-Prime 2.0 on a desktop computer (19 in.) with a refresh rate of 60 Hz and a resolution ratio of 1024 × 768.",data\raw\PMC\PMC10367193.xml
7c3c4d44-ebf4-425c-8e12-1e5622c6e29b,PMC10367193,PMC,2019,Evolutionary Psychology,introduction,1,150,2,67,"The types and locations of probes were counterbalanced across each block. All participants were randomly assigned to complete a Mood Questionnaire (Förster et al., 2010; α = .78 in this study), following one of three priming manipulations to assess their current mood by asking how “loving,” “aroused,” “happy,” “worried,” “disappointed,” “nervous,” and “threatened” they felt on a scale anchored by 1 (not at all) and 7 (extremely).",data\raw\PMC\PMC10367193.xml
ad71c53e-dbb0-45ff-b643-9ee20980ca5e,PMC10367193,PMC,2019,Evolutionary Psychology,introduction,2,410,1,41,"Consequently, the interaction between jealousy and attractive same-sex faces led committed Chinese women high in jealousy to greatly increase their attention to and find it hard to disengage their attention from attractive rivals when mental representations of romantic love were activated.",data\raw\PMC\PMC10367193.xml
7b2d52ea-8d74-4d11-9cb8-23857b8d2af3,PMC10367193,PMC,2019,Evolutionary Psychology,discussion,0,9,2,51,"The results of Study 1 and Ma et al. indicated that different methods of love priming might have distinct effects on committed women’s attentional bias toward attractive same-sex targets. Thus, we continued to explore committed women’s attentional bias toward intrasexual rivals when mental representations of love were activated in Study 2.",data\raw\PMC\PMC10367193.xml
d4279a21-01ed-4962-80bb-df2b8429e1bd,PMC10367193,PMC,2019,Evolutionary Psychology,discussion,1,73,2,32,"On average, participants were moderately or highly committed to their current partner (M = 7.01, SD = 1.28). There were no significant differences in age or relationship length between the two groups.",data\raw\PMC\PMC10367193.xml
9310b09b-7958-4e77-9f3b-14f5ea069b12,PMC10367193,PMC,2019,Evolutionary Psychology,discussion,2,142,2,33,"The three-way interaction remained significant, F(3, 300) = 4.986, p = .002, partial η2 = .047. Furthermore, to test Hypothesis 5, we conducted an independent-samples t test to compare disengagement indices with zero.",data\raw\PMC\PMC10367193.xml
6a4f858a-35af-4ae7-82d4-9cd65ced56a7,PMC12275742,PMC,2019,The Journal of Frailty & Aging,introduction,0,38,3,39,"Transcripts were entered into NVIVO 11 software (QSR International, Burlington, MA). Field notes were recorded on the interview guide and were integrated into code creation. The 3 authors then independently coded all transcriptions and edited the codes for redundancy.",data\raw\PMC\PMC12275742.xml
e6b62497-a544-448d-ae91-7a8a032f864b,PMC12275742,PMC,2019,The Journal of Frailty & Aging,discussion,0,40,2,34,"Caregivers also voiced recognition that not going to the hospital allowed the patient to avoid some of the negative impacts of hospitalization, such as hospital-acquired infections t. Theme 3: Additional need for home-based services.",data\raw\PMC\PMC12275742.xml
5191412b-482e-4ecc-ba4a-de064a8a65d0,PMC12285867,PMC,2018,The Korean Journal of Gastroenterology,introduction,0,3,2,67,"The mixed type is most common, which is composed of epithelioid muscle cells and mixed with islands of fat and abnormal vessels. AML can be exacerbated by estrogens but the precise mechanism is not known.5 The size of hepatic AML varies from 0.1 cm to 40 cm, and its morphology and histology vary.6 The tumors are usually benign, but several cases of malignancy have been also reported.",data\raw\PMC\PMC12285867.xml
c3caecb2-3c8e-483c-b763-1810504da005,PMC12285867,PMC,2018,The Korean Journal of Gastroenterology,introduction,1,0,2,34,"INTRODUCTION Most primary tumors of the liver are hepatocellular carcinoma (HCC); benign tumors are also relatively common. The tumors can be categorized according to their predominant component as mixed, lipomatous, myomatous, and angiomatous type.",data\raw\PMC\PMC12285867.xml
