feature,coefficient,coefficient_abs
unique_word_ratio,0.2927404319691932,0.2927404319691932
bigram_transition_entropy,0.19321340586903396,0.19321340586903396
punctuation_density,0.17399743780923474,0.17399743780923474
avg_sentence_length,0.06571781919150735,0.06571781919150735
repetition_rate,0.041410839764901536,0.041410839764901536
hf_sentiment,0.03919010021768127,0.03919010021768127
sentence_count,0.012460187779638615,0.012460187779638615
word_shannon_entropy,0.006711734048723157,0.006711734048723157
hybrid_sentiment,-0.022182963407783814,0.022182963407783814
sentence_length_std,-0.031437376925421485,0.031437376925421485
type_token_ratio,-0.04141083976490101,0.04141083976490101
vader_compound,-0.069718666961106,0.069718666961106
sentence_entropy_std,-0.10582639604720956,0.10582639604720956
char_shannon_entropy,-0.11185196494174118,0.11185196494174118
trigram_transition_entropy,-0.1138480609864956,0.1138480609864956
sentence_entropy_mean,-0.14515021883705861,0.14515021883705861
avg_word_length,-0.1645205958234664,0.1645205958234664
word_count,-0.16933542145189892,0.16933542145189892
bigram_diversity,-0.45738952432335267,0.45738952432335267
